Crater Congreve,          -0.28, -167.84,    57.61
Crater Conon,             21.66,    1.95,    20.96
Crater Cook,             -17.05,   48.81,    45.16
Crater Cooper,            52.68,  175.92,    51.87
Crater Copernicus,         9.62,  -20.08,    96.07
Crater Cori,             -50.48, -152.91,    67.22
Crater Coriolis,           0.56,  171.08,    78.56
Crater Couder,            -4.09,  -92.58,    18.56
Crater Coulomb,           54.46, -115.00,    89.72
Crater Courtney,          25.14,  -30.81,     1.24
Crater Cremona,           67.24,  -90.86,    85.12
Crater Crile,             14.21,   45.98,     9.03
Crater Crocco,           -46.98,  150.51,    67.05
Crater Crommelin,        -67.46, -147.95,    93.48
Crater Crookes,          -10.04, -165.01,    48.25
Crater Crozier,          -13.56,   50.72,    22.51
Crater Crüger,           -16.68,  -66.96,    45.94
Crater Ctesibius,          0.83,  118.75,    32.01
Crater Curie,            -23.05,   92.28,   138.87
Crater Curtis,            14.57,   56.79,     2.88
Crater Curtius,          -67.08,    4.04,    99.29
Crater Cusanus,           71.82,   69.04,    60.87
Crater Cuvier,           -50.29,    9.69,    77.03
Crater Cyrano,           -20.37,  157.37,    79.58
Crater Cyrillus,         -13.29,   24.07,    98.09
Crater Cysatus,          -66.21,   -6.34,    47.77
Crater D. Brown,         -41.65, -147.16,    16.12
Crater da Vinci,           9.01,   44.95,    37.46
Crater Daedalus,          -5.83,  179.04,    93.61
Crater Dag,               18.71,    5.26,     0.36
Crater Daguerre,         -11.91,   33.61,    45.79
Crater Dale,              -9.56,   82.93,    23.41
Crater d'Alembert,        51.07,  164.89,   233.55
Crater Dalton,            17.07,  -84.45,    60.69
Crater Daly,               5.74,   59.05,    14.96
Crater Damoiseau,         -4.85,  -61.25,    36.66
Crater Daniell,           35.42,   31.16,    28.02
Crater Danjon,           -11.42,  123.09,    69.03
Crater Dante,             25.36,  180.00,    53.83
Crater Darney,           -14.61,  -23.57,    14.81
Crater D'Arrest,           2.26,   14.06,    29.67
Crater D'Arsonval,       -10.31,  124.59,    30.36
Crater Darwin,           -19.93,  -69.21,   122.18
Crater Das,              -26.49, -137.05,    35.95
Crater Daubrée,           15.73,   14.75,    14.67
Crater Davisson,         -37.93, -174.97,    92.46
Crater Davy,             -11.85,   -8.15,    33.94
Crater Dawes,             17.21,   26.34,    17.06
Crater Dawson,           -66.99, -135.05,    44.32
Crater De Forest,        -76.94, -163.33,    56.26
Crater de Gasparis,      -25.83,  -50.83,    30.09
Crater de Gerlache,      -88.48,  -88.34,    32.71
Crater De La Rue,         59.02,   52.84,   135.22
Crater De Moraes,         49.38,  143.00,    54.41
Crater De Morgan,          3.31,   14.89,     9.68
Crater De Roy,           -55.24,  -98.99,    43.51
Crater De Sitter,         79.81,   38.57,    63.79
Crater De Vico,          -19.71,  -60.32,    22.13
Crater De Vries,         -19.68, -176.78,    57.51
Crater Debes,             29.47,   51.62,    31.92
Crater Debus,            -10.68,   99.68,    19.77
Crater Debye,             49.43, -176.03,   127.03
Crater Dechen,            46.12,  -68.18,    12.04
Crater Delambre,          -1.94,   17.39,    51.49
Crater Delaunay,         -22.26,    2.62,    44.63
Crater Delia,            -10.91,   -6.13,     1.57
Crater Delisle,           29.98,  -34.68,    24.83
Crater Dellinger,         -6.87,  140.07,    82.04
Crater Delmotte,          27.16,   60.02,    32.16
Crater Delporte,         -15.89,  121.55,    42.05
Crater Deluc,            -55.02,   -2.98,    45.69
Crater Dembowski,          2.88,    7.27,    26.11
Crater Democritus,        62.31,   34.99,    37.78
Crater Demonax,          -78.09,   59.36,   121.93
Crater Denning,          -16.26,  142.76,    44.18
Crater Desargues,         70.25,  -73.42,    84.85
Crater Descartes,        -11.74,   15.67,    47.73
Crater Deseilligny,       21.13,   20.59,     6.01
Crater Deslandres,       -32.55,   -5.57,   227.02
Crater Deutsch,           24.35,  110.91,    73.33
Crater Dewar,             -2.61,  165.62,    46.31
Crater Diana,             14.29,   35.65,     1.55
Crater Diderot,          -20.42,  121.54,    20.00
Crater Dionysius,          2.77,   17.29,    17.25
Crater Diophantus,        27.62,  -34.03,    17.57
Crater Dirichlet,         10.58, -152.05,    47.24
Crater Dobrovol'skiy,    -12.83,  129.68,    38.04
Crater Doerfel,          -68.97, -108.53,    68.63
Crater Dollond,          -10.48,   14.41,    11.04
Crater Donati,           -20.69,    5.01,    35.84
Crater Donna,              7.22,   38.03,     1.84
Crater Donner,           -31.35,   97.99,    55.05
Crater Doppelmayer,      -28.48,  -41.51,    65.08
Crater Doppler,          -12.58, -159.84,   101.79
Crater Douglass,          35.05, -122.72,    50.95
Crater Dove,             -46.83,   31.42,    30.36
Crater Draper,            17.56,  -21.75,     8.28
Crater Drebbel,          -40.93,  -49.12,    30.23
Crater Dreyer,            10.24,   97.09,    63.84
Crater Drude,            -38.56,  -91.89,    27.13
Crater Dryden,           -33.21, -156.15,    54.45
Crater Drygalski,        -79.57,  -87.18,   162.49
Crater Dubyago,            4.38,   69.95,    48.12
Crater Dufay,              5.57,  169.54,    36.11
Crater Dugan,             64.12,  103.11,    49.65
Crater Dunér,             44.68,  179.46,    65.07
Crater Dunthorne,        -30.12,  -31.71,    15.12
Crater Dyson,             60.87, -121.71,    63.14
Crater Dziewulski,        20.99,   99.02,    68.09
Crater Eckert,            17.28,   58.38,     2.62
Crater Eddington,         21.05,  -72.02,   120.13
Crater Edison,            24.88,   99.27,    62.72
Crater Edith,            -25.77,  102.33,     6.92
Crater Egede,             48.72,   10.64,    34.18
Crater Ehrlich,           40.82, -172.27,    33.58
Crater Eichstadt,        -22.63,  -78.42,    49.57
Crater Eijkman,          -63.21, -142.51,    56.36
Crater Eimmart,           23.97,   64.08,    44.99
Crater Einstein,          16.06,  -88.65,   181.47
Crater Einthoven,         -5.06,  110.06,    73.94
Crater Elger,            -35.04,  -29.81,    21.51
Crater Ellerman,         -25.44, -120.39,    46.21
Crater Ellison,           54.93, -108.05,    36.99
Crater Elmer,            -10.23,   84.18,    16.86
Crater Elvey,              9.01, -100.64,    80.21
Crater Emden,             62.76, -176.51,   114.64
Crater Encke,              4.57,  -36.68,    28.27
Crater Endymion,          53.61,   56.48,   122.01
Crater Engel'gardt,        5.39, -159.47,    43.51
Crater Eötvös,           -35.61,  134.43,   101.08
Crater Epigenes,          67.05,   -4.62,    54.51
Crater Epimenides,       -40.92,  -30.33,    22.56
Crater Eratosthenes,      14.47,  -11.32,    58.77
Crater Erlanger,          86.99,   28.62,    10.94
Crater Erro,               5.68,   98.54,    63.75
Crater Esclangon,         21.47,   42.06,    15.29
Crater Esnault-Pelterie,  47.41, -141.83,    76.79
Crater Espin,             28.15,  109.34,    70.01
Crater Euclides,          -7.04,  -29.56,    11.08
Crater Euctemon,          76.26,   30.57,    62.07
Crater Eudoxus,           44.27,   16.23,    70.16
Crater Euler,             23.26,  -29.18,    26.03
Crater Evans,             -9.63, -133.78,    69.04
Crater Evdokimov,         34.57, -153.04,    48.88
